@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2}
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric

@data
97,'2016/09/18 14:56:08:451',1,34.784496,0.794255,-0.176111,-0.125699,-0.145701,0.070138,0.033088,0.122601,0.055954,0.146042,0.063283,0.155478,0.178901,0.259257,417.107452,1,?,?,?
98,'2016/09/18 14:56:08:532',1,34.237843,0.81353,-0.175562,-0.123099,-0.154884,0.077393,0.038869,0.133751,0.048914,0.141203,0.057741,0.161403,0.173735,0.25597,417.301514,1,?,?,?
99,'2016/09/18 14:56:08:614',1,33.67609,0.83017,-0.172063,-0.117556,-0.164975,0.077548,0.04795,0.151475,0.045811,0.135074,0.056629,0.164655,0.17867,0.2559,417.317688,1,?,?,?
100,'2016/09/18 14:56:08:695',1,33.231087,0.837429,-0.175908,-0.116692,-0.184474,0.085216,0.051428,0.157981,0.042327,0.124685,0.056579,0.166329,0.182607,0.252364,417.431946,1,?,?,?
101,'2016/09/18 14:56:08:777',1,33.099701,0.851487,-0.162296,-0.114464,-0.197563,0.08729,0.063416,0.162166,0.047347,0.124687,0.058367,0.168886,0.189392,0.25374,417.507874,1,?,?,?
102,'2016/09/18 14:56:08:858',1,32.783985,0.864639,-0.140719,-0.107992,-0.206843,0.098701,0.074768,0.166477,0.054032,0.118809,0.055139,0.175706,0.202211,0.243838,417.59613,1,?,?,?
103,'2016/09/18 14:56:08:939',1,32.245502,0.885404,-0.132226,-0.098578,-0.220519,0.115538,0.082616,0.166805,0.057673,0.110977,0.061642,0.171326,0.204095,0.240232,417.388123,1,?,?,?
104,'2016/09/18 14:56:09:009',1,31.545898,0.896751,-0.14206,-0.098285,-0.227597,0.12179,0.070256,0.17079,0.057308,0.103725,0.061747,0.168034,0.20466,0.240489,416.870087,1,?,?,?
105,'2016/09/18 14:56:09:090',1,31.329023,0.908046,-0.13985,-0.101691,-0.227383,0.118656,0.068912,0.171808,0.065409,0.099618,0.066327,0.162101,0.208197,0.233483,417.067657,1,?,?,?
106,'2016/09/18 14:56:09:171',1,30.949047,0.912676,-0.14382,-0.097577,-0.23672,0.122969,0.071486,0.177092,0.063049,0.101753,0.067186,0.159753,0.209229,0.2328,417.556183,1,?,?,?
107,'2016/09/18 14:56:09:252',1,30.530539,0.917979,-0.146695,-0.092073,-0.232909,0.117451,0.079153,0.175025,0.063626,0.095173,0.076147,0.148926,0.207684,0.230617,417.462555,1,?,?,?
108,'2016/09/18 14:56:09:334',1,30.080973,0.919181,-0.150636,-0.088004,-0.233784,0.10791,0.081385,0.173061,0.067498,0.095571,0.082243,0.141133,0.209466,0.232986,417.232117,1,?,?,?
109,'2016/09/18 14:56:09:415',1,28.905561,0.91886,-0.159396,-0.078446,-0.221282,0.115251,0.086958,0.171102,0.068357,0.093928,0.091774,0.137004,0.208666,0.234633,417.166626,1,?,?,?
110,'2016/09/18 14:56:24:218',2,2.412981,1.006115,0.186878,0.29596,0.202208,0.192549,0.21254,0.231265,0.2023,0.161958,0.197243,0.220717,0.157069,0.13385,874.128784,2,?,?,?
